day_index,date,model,method,complete,completed_utc,feasibility_tolerance_mw,fica.gurobi_runtime_seconds,fica.objective,fica.status,fica.training_JCC,fica.wall_seconds,independent_5000_validation.balance_jcc,independent_5000_validation.balance_violation.maximum_mw,independent_5000_validation.balance_violation.mean_mw,independent_5000_validation.balance_violation.p95_mw,independent_5000_validation.balance_violation.p99_mw,independent_5000_validation.generation_jcc,independent_5000_validation.generation_violation.maximum_mw,independent_5000_validation.generation_violation.mean_mw,independent_5000_validation.generation_violation.p95_mw,independent_5000_validation.generation_violation.p99_mw,independent_5000_validation.joint_jcc,independent_5000_validation.joint_jcc_definition,independent_5000_validation.joint_jcc_wilson_95_interval,independent_5000_validation.joint_satisfied_count,independent_5000_validation.line_flow_jcc,independent_5000_validation.line_flow_violation.maximum_mw,independent_5000_validation.line_flow_violation.mean_mw,independent_5000_validation.line_flow_violation.p95_mw,independent_5000_validation.line_flow_violation.p99_mw,independent_5000_validation.ramping_jcc,independent_5000_validation.ramping_violation.maximum_mw,independent_5000_validation.ramping_violation.mean_mw,independent_5000_validation.ramping_violation.p95_mw,independent_5000_validation.ramping_violation.p99_mw,independent_5000_validation.realized_cost.mean,independent_5000_validation.realized_cost.median,independent_5000_validation.realized_cost.q05,independent_5000_validation.realized_cost.q95,independent_5000_validation.realized_cost.standard_deviation,independent_5000_validation.scenario_count,real_trajectory.absolute_agc_energy_mwh,real_trajectory.balance.feasible,real_trajectory.balance.max_violation_mw,real_trajectory.balance.mean_positive_violation_mw,real_trajectory.balance.minimum_margin_mw,real_trajectory.balance.p95_positive_violation_mw,real_trajectory.balance.sum_violation_mw,real_trajectory.balance.violating_elements,real_trajectory.balance.violating_hours,real_trajectory.generation.feasible,real_trajectory.generation.max_violation_mw,real_trajectory.generation.mean_positive_violation_mw,real_trajectory.generation.minimum_margin_mw,real_trajectory.generation.p95_positive_violation_mw,real_trajectory.generation.sum_violation_mw,real_trajectory.generation.violating_elements,real_trajectory.generation.violating_hours,real_trajectory.joint_feasible,real_trajectory.line_flow.feasible,real_trajectory.line_flow.max_violation_mw,real_trajectory.line_flow.mean_positive_violation_mw,real_trajectory.line_flow.minimum_margin_mw,real_trajectory.line_flow.p95_positive_violation_mw,real_trajectory.line_flow.sum_violation_mw,real_trajectory.line_flow.violating_elements,real_trajectory.line_flow.violating_hours,real_trajectory.maximum_absolute_total_wind_error_mw,real_trajectory.maximum_agc_adjustment_mw,real_trajectory.mean_absolute_total_wind_error_mw,real_trajectory.ramping.feasible,real_trajectory.ramping.max_violation_mw,real_trajectory.ramping.mean_positive_violation_mw,real_trajectory.ramping.minimum_margin_mw,real_trajectory.ramping.p95_positive_violation_mw,real_trajectory.ramping.sum_violation_mw,real_trajectory.ramping.violating_elements,real_trajectory.ramping.violating_hours,real_trajectory.realized_cost,real_trajectory.realized_minus_scheduled_cost,real_trajectory.scheduled_cost,selection.candidate_count,selection.candidate_scenarios_violating_initial_policy,selection.candidate_seed,selection.core_count,selection.core_seed,selection.forecast_source,selection.maximum_witness_budget,selection.name,selection.scenario_seed,selection.uses_observation,selection.witness_count,selection.witness_diagnostics.generation_lower.active_constraints,selection.witness_diagnostics.generation_lower.unique_witnesses,selection.witness_diagnostics.generation_lower.violating_candidates,selection.witness_diagnostics.generation_upper.active_constraints,selection.witness_diagnostics.generation_upper.unique_witnesses,selection.witness_diagnostics.generation_upper.violating_candidates,selection.witness_diagnostics.line_lower.active_constraints,selection.witness_diagnostics.line_lower.unique_witnesses,selection.witness_diagnostics.line_lower.violating_candidates,selection.witness_diagnostics.line_upper.active_constraints,selection.witness_diagnostics.line_upper.unique_witnesses,selection.witness_diagnostics.line_upper.violating_candidates,selection.witness_diagnostics.ramp_lower.active_constraints,selection.witness_diagnostics.ramp_lower.unique_witnesses,selection.witness_diagnostics.ramp_lower.violating_candidates,selection.witness_diagnostics.ramp_upper.active_constraints,selection.witness_diagnostics.ramp_upper.unique_witnesses,selection.witness_diagnostics.ramp_upper.violating_candidates
0,2012-07-15T01:00:00.000000000,Joint-CLDM,Initial-200,True,2026-07-27T08:28:25.888375+00:00,0.0001,221.04235792160034,778334.2180975131,2,1.0,235.40654236200135,1.0,4.577636730118684e-05,4.577636701778829e-05,4.57763671875e-05,4.57763671875e-05,0.9042,17.6766418279196,0.2522275081563248,1.6631951532362697,6.030904129997096,0.8922,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.8833007920956387,0.9004970224986831]",4461,1.0,0.0,0.0,0.0,0.0,0.953,8.025156711212922,0.06797182309180526,0.0,2.1873665013978134,773074.2108889521,773070.9976019821,736001.6434230693,809231.1414477414,22450.603772110346,5000,896.9772920608516,True,0.0,0.0,6.185302768481052e-05,0.0,0.0,0,0,True,0.0,0.0,1.1798225092770522,0.0,0.0,0,0,True,True,0.0,0.0,74.0671621142605,0.0,0.0,0,0,94.51631164550781,14.228010824678703,37.374053955078125,True,0.0,0.0,1.17982478617159,0.0,0.0,0,0,745927.5900724353,-32406.6280250774,778334.2180975127,,,,,,Joint CLDM distribution expert,,native-center direct paired random 200,20260725,False,,,,,,,,,,,,,,,,,,,
0,2012-07-15T01:00:00.000000000,Joint-CLDM,Witness-200,True,2026-07-27T08:32:08.637060+00:00,0.0001,210.61599707603455,781261.3937629441,2,1.0,222.15816193299906,1.0,4.5776372871841886e-05,4.5776366858126495e-05,4.577636934754992e-05,4.577637059810513e-05,0.9952,5.167643069461363,0.006229722421777586,0.0,0.0,0.9942,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.9916826613678198,0.9959585420297168]",4971,1.0,0.0,0.0,0.0,0.0,0.9982,1.8406424953093854,0.001441166115199175,0.0,0.0,775972.2460706163,775969.7722859664,738926.7729698658,812160.436957277,22405.21435421276,5000,896.977292060857,True,0.0,0.0,6.185302677531582e-05,0.0,0.0,0,0,True,0.0,0.0,1.224462424521775,0.0,0.0,0,0,True,True,0.0,0.0,79.13924684587376,0.0,0.0,0,0,94.51631164550781,10.187176145899027,37.374053955078125,True,0.0,0.0,5.356494835555413,0.0,0.0,0,0,748940.1756578782,-32321.218105065636,781261.3937629438,6000,636,40260725,144,50260725,Joint CLDM distribution expert,100,native-center constraint witnesses plus uniform core,,False,56,154,22,305,153,20,268,0,0,0,0,0,0,30,13,147,35,17,133
0,2012-07-15T01:00:00.000000000,STDE-CDM,Initial-200,True,2026-07-27T08:35:34.309770+00:00,0.0001,193.76535081863403,775805.301605192,2,1.0,205.28190066000025,1.0,2.6702885634222184e-05,2.670288088606867e-05,2.670288233730389e-05,2.6702883133111754e-05,0.8954,14.801744750655175,0.25844061268644863,1.8041383117231486,6.195181267549337,0.8812,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.871937752330103,0.8898769517070094]",4406,1.0,0.0,0.0,0.0,0.0,0.954,10.986349750404933,0.05883541524612515,0.0,1.8259019070595708,765028.8242303055,765004.5781947406,732859.5718460382,796823.4137216244,19716.937675523743,5000,1047.271430969261,True,0.0,0.0,7.711181629256317e-05,0.0,0.0,0,0,True,0.0,0.0,1.159289704163097,0.0,0.0,0,0,True,True,0.0,0.0,74.02609576239124,0.0,0.0,0,0,97.24540710449219,16.640096863209557,43.63631057739258,True,0.0,0.0,1.1592897073252608,0.0,0.0,0,0,745137.0108432763,-30668.290761915385,775805.3016051917,,,,,,spatiotemporal expert joint forecast head,,native-center direct paired random 200,20260725,False,,,,,,,,,,,,,,,,,,,
0,2012-07-15T01:00:00.000000000,STDE-CDM,Witness-200,True,2026-07-27T08:38:44.228188+00:00,0.0001,177.78535389900208,778181.4201246736,2,1.0,189.33836806699765,1.0,2.670288131412235e-05,2.6702881148730738e-05,2.6702881200435513e-05,2.6702881200435513e-05,0.9954,5.429692956313019,0.007299401929087168,0.0,0.0,0.9946,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.9921545307177468,0.9962860585182338]",4973,1.0,0.0,0.0,0.0,0.0,0.9986,2.0702740622952405,0.001221957227008017,0.0,0.0,767408.4952041882,767422.1470018155,735175.1128313228,799221.3817338736,19730.17293860836,5000,1047.271430969236,True,0.0,0.0,7.711181629256317e-05,0.0,0.0,0,0,True,0.0,0.0,1.2140382197677972,0.0,0.0,0,0,True,True,0.0,0.0,78.6546607031772,0.0,0.0,0,0,97.24540710449219,12.08907649731828,43.63631057739258,True,0.0,0.0,4.824487408327705,0.0,0.0,0,0,747583.863007756,-30597.55711691745,778181.4201246734,6000,711,40260725,145,50260725,spatiotemporal expert joint forecast head,100,native-center constraint witnesses plus uniform core,,False,55,123,21,289,137,19,354,0,0,0,0,0,0,32,17,122,34,18,147
1,2012-07-06T01:00:00.000000000,Joint-CLDM,Initial-200,True,2026-07-27T08:42:24.394951+00:00,0.0001,197.29652500152588,887141.6392374422,2,1.0,208.8922735039996,1.0,9.53674611992028e-06,9.536743465923792e-06,9.536744300930877e-06,9.536744755678228e-06,0.8992,17.53547171658141,0.2964811628927107,2.096977136399268,6.512605280963123,0.894,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.8851627730657405,0.9022322778015792]",4470,1.0,0.0,0.0,0.0,0.0,0.962,8.623523993871732,0.05311607402259976,0.0,1.8288560532046034,877245.8160493693,876939.1296004322,844102.8553123873,911488.7667304545,20436.038805912238,5000,580.5543956757464,True,0.0,0.0,6.948242130656582e-05,0.0,0.0,0,0,True,0.0,0.0,1.1561451911452103,0.0,0.0,0,0,True,True,0.0,0.0,74.01980673683849,0.0,0.0,0,0,86.52726745605469,14.244084570042082,24.18976593017578,True,0.0,0.0,1.7789453838441247,0.0,0.0,0,0,867335.6715497301,-19805.967687711818,887141.6392374419,,,,,,Joint CLDM distribution expert,,native-center direct paired random 200,20260726,False,,,,,,,,,,,,,,,,,,,
1,2012-07-06T01:00:00.000000000,Joint-CLDM,Witness-200,True,2026-07-27T08:46:02.958328+00:00,0.0001,206.50150990486145,889404.1664903123,2,1.0,217.99582713500058,1.0,9.536759307593456e-06,9.536744569231814e-06,9.536749757899088e-06,9.536752713756869e-06,0.997,3.0585155369562687,0.002259923752978142,0.0,0.0,0.9966,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.9945614552240499,0.9978760632041505]",4983,1.0,0.0,0.0,0.0,0.0,0.9992,0.8994817350028974,0.0005174754794586811,0.0,0.0,879605.8189315356,879274.8606636695,846676.2390778881,913752.7522507679,20362.406270953048,5000,580.5543956756817,True,0.0,0.0,6.948242073813163e-05,0.0,0.0,0,0,True,0.0,0.0,1.2032889662730177,0.0,0.0,0,0,True,True,0.0,0.0,74.11409442238943,0.0,0.0,0,0,86.52726745605469,10.084734259766101,24.18976593017578,True,0.0,0.0,1.72280260102076,0.0,0.0,0,0,869564.5547435775,-19839.611746734474,889404.166490312,6000,677,40260726,154,50260726,Joint CLDM distribution expert,100,native-center constraint witnesses plus uniform core,,False,46,134,17,485,96,14,161,0,0,0,0,0,0,35,19,223,26,11,42
1,2012-07-06T01:00:00.000000000,STDE-CDM,Initial-200,True,2026-07-27T08:49:28.507433+00:00,0.0001,193.75630903244019,867626.9245391175,2,1.0,205.17722843199954,1.0,1.7166137922686175e-05,1.7166137570211504e-05,1.71661376953125e-05,1.7166137922686175e-05,0.8978,17.99335174863268,0.2918973234250318,2.170691156777156,6.613614737073826,0.8904,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.8814395616412164,0.8987610166801073]",4452,1.0,0.0,0.0,0.0,0.0,0.95,6.6624575530503165,0.07670572572781,0.0008692158294960708,2.4887852352228856,874861.2192611595,874513.3864909669,843215.6241134945,907960.7101461136,19731.548530189208,5000,435.1229705810545,True,0.0,0.0,6.376037586287567e-05,0.0,0.0,0,0,True,0.0,0.0,1.1339669373948595,0.0,0.0,0,0,True,True,0.0,0.0,73.97545026881349,0.0,0.0,0,0,39.84418487548828,6.796314172896032,18.130125045776367,True,0.0,0.0,1.875236324033672,0.0,0.0,0,0,867085.2370071704,-541.687531946809,867626.9245391173,,,,,,spatiotemporal expert joint forecast head,,native-center direct paired random 200,20260726,False,,,,,,,,,,,,,,,,,,,
1,2012-07-06T01:00:00.000000000,STDE-CDM,Witness-200,True,2026-07-27T08:52:47.244681+00:00,0.0001,186.65100407600403,869631.6731021751,2,1.0,198.19088426099916,1.0,1.7166141560664983e-05,1.7166137904905555e-05,1.7166139286928228e-05,1.7166139969049254e-05,0.9978,2.6822916761016176,0.0019132146851034012,0.0,0.0,0.997,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.9950558340443003,0.9981810702223441]",4985,1.0,0.0,0.0,0.0,0.0,0.999,1.5122858856915933,0.000719536428298008,0.0,0.0,876914.3427064111,876607.3151425081,845348.3524525801,909987.4320789097,19649.12910444833,5000,435.12297058103456,True,0.0,0.0,6.376037915979396e-05,0.0,0.0,0,0,True,0.0,0.0,1.197783085890464,0.0,0.0,0,0,True,True,0.0,0.0,74.7251784268781,0.0,0.0,0,0,39.84418487548828,4.907775993287682,18.130125045776367,True,0.0,0.0,1.7285429901586156,0.0,0.0,0,0,869054.1707500103,-577.5023521644762,869631.6731021748,6000,655,40260726,158,50260726,spatiotemporal expert joint forecast head,100,native-center constraint witnesses plus uniform core,,False,42,129,16,476,99,16,157,0,0,0,0,0,0,32,18,261,18,9,46
2,2012-01-15T01:00:00.000000000,Joint-CLDM,Initial-200,True,2026-07-27T08:56:20.346583+00:00,0.0001,190.1669819355011,885133.6365936688,2,1.0,201.8680551139987,1.0,2.00271610992786e-05,2.0027160657855346e-05,2.0027160871904925e-05,2.0027160871904925e-05,0.93,18.203637507672923,0.1704737096209805,0.8247994053472286,4.714921951838357,0.9196,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.9117370198947049,0.9268187246330294]",4598,1.0,0.0,0.0,0.0,0.0,0.9662,12.816860104344492,0.0569115312236167,0.0,1.9645766472259956,880355.5977704555,880966.9113347521,847652.4762243975,911114.1880202311,19520.800679600467,5000,551.4816000461577,True,0.0,0.0,7.329711891325133e-05,0.0,0.0,0,0,True,0.0,0.0,1.1737525920453749,0.0,0.0,0,0,True,True,0.0,0.0,74.05502182665586,0.0,0.0,0,0,62.053062438964844,10.363970217176309,22.9783992767334,True,0.0,0.0,4.317213810803487,0.0,0.0,0,0,870088.0262234396,-15045.610370228882,885133.6365936685,,,,,,Joint CLDM distribution expert,,native-center direct paired random 200,20260727,False,,,,,,,,,,,,,,,,,,,
2,2012-01-15T01:00:00.000000000,Joint-CLDM,Witness-200,True,2026-07-27T08:59:36.361870+00:00,0.0001,183.88422107696533,887543.009522065,2,1.0,195.46572185699915,1.0,2.0027163827762706e-05,2.0027160608970008e-05,2.0027161554025952e-05,2.0027162008773303e-05,0.9966,9.428587020467031,0.005962314730714068,0.0,0.0,0.9966,"simultaneous generation, line-flow, and ramping feasibility; power balance is reported separately as a numerical identity","[0.9945614552240499,0.9978760632041505]",4983,1.0,0.0,0.0,0.0,0.0,0.9992,4.1346220356487215,0.001175522525496056,0.0,0.0,882805.0584121649,883356.0046845842,850085.8799341109,913521.2051173592,19492.547885417345,5000,551.4816000461254,True,0.0,0.0,7.329711959537236e-05,0.0,0.0,0,0,True,0.0,0.0,1.2169205523891407,0.0,0.0,0,0,True,True,0.0,0.0,76.00734806816621,0.0,0.0,0,0,62.053062438964844,6.828784706624496,22.9783992767334,True,0.0,0.0,6.550048428088022,0.0,0.0,0,0,872599.7519590361,-14943.257563028834,887543.0095220649,6000,533,40260727,150,50260727,Joint CLDM distribution expert,100,native-center constraint witnesses plus uniform core,,False,50,142,17,237,133,19,247,0,0,0,0,0,0,39,17,153,23,10,64
